pos,startPos,participant,car,class,totalTime,bestLapTime,bestCleanLapTime,calculatedPoints,finalPoints,laps
1,,Apollo Motorsport #2,Porsche 992 GT3 R,Gold,3693515,94170,94170,40,42,38
2,,Col Ice eSports,McLaren 720S GT3 EVO,Silb,3695369,94330,94330,40,42,38
3,,HPR eSports Rookie,McLaren 720S GT3 EVO,GAST,3711106,94705,94757,40,40,38
4,,arrive-n-drive,Porsche 992 GT3 R,Gold,3712314,94597,94597,35,35,38
5,,Apollo Motorsport #4,McLaren 720S GT3 EVO,Gold,3714271,94845,94845,30,30,38
6,,HQTH Simracing,AMR V8 Vantage (2019),Gold,3722739,95275,95332,26,26,38
7,,Ricekolben Racing,AMR V8 Vantage (2019),Gold,3748501,95440,95440,23,23,38
8,,DoD Racing Lennard,Mercedes-AMG GT3 Evo,Gold,3757872,95857,95857,20,20,38
9,,Loco Racing,Ferrari 296,Gold,3759363,94977,94977,18,18,38
10,,HQTH Simracing #1,Audi R8 LMS Evo II,Gold,3775242,95377,95377,16,16,38
11,,DeggiMotorsport,Ferrari 296,Silb,3775529,95047,95047,35,35,38
12,,Thomas Pummer,Porsche 992 GT3 R,Gold,3780477,95155,95155,14,14,38
13,,Apollo Motorsport,Porsche 992 GT3 R,Silb,3781393,95207,95207,30,30,38
14,,HPR eSports 216,McLaren 720S GT3 EVO,Gold,3782126,94847,94847,12,12,38
15,,Adrenalin Racing Team,McLaren 720S GT3 EVO,Silb,3798122,94432,94432,26,26,38
16,,Swiss-Racing-Team2,McLaren 720S GT3 EVO,Gold,3698838,95412,95412,10,10,37
17,,FunTec Racing 1,AMR V8 Vantage (2019),Silb,3712734,95237,96052,23,23,37
18,,Cold Ice eSports,McLaren 720S GT3 EVO,Gold,3719782,96700,96857,9,9,37
19,,Ricekolben Racing II,Ferrari 296,Silb,3724128,96607,96680,20,20,37
20,,FuntecRacingTeam,McLaren 720S GT3 EVO,Silb,3729441,96777,96777,18,18,37
21,,Virtual Veteran Racing,Porsche 992 GT3 R,Silb,3751175,97050,97050,16,16,37
22,,HPR eSports 173,BMW M4 GT3,Silb,3774725,97202,97202,14,14,37
23,,Andreas Balduf,McLaren 720S GT3 EVO,Silb,3788688,96807,96807,12,12,37
24,,Green Delta Motorsport,Ferrari 296,Silb,3700730,97460,97460,10,10,36
25,,Swiss-Racing-Team 3,Honda NSX Evo (2019),Gold,3710395,95387,95727,8,8,36
26,,Green Delta Motorsport #33,Honda NSX Evo (2019),Silb,3742140,95722,95722,9,9,36
27,,HPR eSports Rookie #420,Ferrari 296,GAST,3766507,95932,95955,35,35,32
28,,Apollo Motorsport #1,Porsche 992 GT3 R,Gold,2891124,95855,95855,7,7,28
29,,Marc Mahowi,McLaren 720S GT3 EVO,Silb,2418252,97517,97700,8,8,23
30,,Reiskolben Racing Silber,Porsche 992 GT3 R,Silb,1184539,96612,96612,7,0,10
32,,Skidmark Racing,BMW M4 GT3,Gold,0,,,0,0,0
33,,Swiss-Racing-Team 2,McLaren 720S GT3 EVO,Silb,0,,,0,0,0
35,,Motalin eSport,AMR V8 Vantage (2019),Silb,0,,,0,0,0
31,,Swiss-Racing-Team,McLaren 720S GT3 EVO,Gold,0,,,0,0,0
34,,HQTH Simracing #2,AMR V8 Vantage (2019),Gold,0,,,0,0,0